PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin,LocationCode,Survived
1825,2,male,36.7,2,1,94.08,S,E174,LOC-585700,1
1793,3,female,40.7,0,0,9.44,S,E127,LOC-511307,1
1712,3,female,,0,0,10.97,S,F84,LOC-527085,0
1119,1,male,57.4,0,0,66.86,S,B25,LOC-802953,1
1470,1,female,32.3,0,0,59.04,S,B175,LOC-471344,0
1486,3,female,62.2,1,0,10.81,S,,LOC-485099,0
1236,3,male,32.4,0,0,8.85,S,,LOC-681674,0
1653,2,male,45.4,0,0,20.68,S,D142,LOC-148163,0
1572,1,female,9.8,0,1,138.72,C,,LOC-161259,1
1294,3,female,59.0,0,0,11.35,S,,LOC-276191,1
1691,3,female,12.4,0,1,14.19,S,,LOC-727917,1
1403,3,male,10.5,0,1,15.2,C,,LOC-273199,0
1411,3,male,37.3,2,0,19.67,S,F171,LOC-609903,1
1390,1,female,43.4,0,0,36.7,C,B105,LOC-960526,1
1619,2,female,43.3,0,1,22.15,S,,LOC-944735,0
1588,3,female,18.1,2,0,37.32,S,F72,LOC-946741,0
1245,2,male,5.1,0,0,41.03,S,,LOC-450601,0
1766,2,male,36.8,2,0,38.52,S,,LOC-131909,0
1135,3,female,12.2,1,0,10.95,S,F216,LOC-505621,0
1538,3,male,44.5,1,1,13.76,S,,LOC-955252,0
1339,2,male,0.5,1,3,84.86,Q,,LOC-904194,1
1163,1,male,21.5,0,0,80.09,S,A164,LOC-919462,1
1219,1,female,49.0,0,0,160.26,S,,LOC-985985,1
1068,3,male,3.8,0,3,21.38,S,G109,LOC-798972,0
1742,2,male,10.5,0,1,54.4,S,,LOC-914749,1
1187,1,male,23.8,1,0,52.17,Q,D125,LOC-827363,0
1148,3,female,12.8,0,0,16.55,S,E206,LOC-160200,1
1426,3,female,35.7,0,0,27.63,S,,LOC-700547,1
1760,3,male,16.8,0,1,18.17,S,,LOC-921006,0
1537,1,female,40.1,1,1,85.98,S,,LOC-605973,1
1413,3,male,23.0,0,0,13.91,S,,LOC-309694,0
1377,1,female,39.8,1,0,61.2,S,D92,LOC-905268,1
1625,3,female,0.5,0,4,11.56,S,D184,LOC-769557,1
1782,2,male,,0,2,53.4,C,G219,LOC-567418,1
1005,1,male,39.1,1,0,73.29,S,,LOC-301352,0
1803,3,male,28.8,0,0,8.34,S,D179,LOC-203262,0
1723,3,male,17.9,1,0,23.5,S,F183,LOC-453068,0
1297,3,female,,0,0,8.19,S,F161,LOC-275626,0
1545,1,male,55.2,1,0,116.09,S,A94,LOC-826909,0
1121,3,female,28.7,1,1,14.6,S,,LOC-139992,0
1117,3,male,26.3,1,0,6.66,S,,LOC-403722,0
1308,1,female,55.2,0,0,134.15,S,,LOC-395001,1
1814,1,male,25.0,1,0,112.69,S,D104,LOC-697485,0
1391,2,female,31.3,0,1,22.91,S,E153,LOC-538415,1
1157,1,male,19.3,1,1,95.71,C,,LOC-194846,1
1886,3,female,14.5,1,1,9.13,S,G188,LOC-929880,1
1188,1,female,,0,0,106.75,S,C198,LOC-434635,1
1371,3,female,49.1,0,0,8.98,S,F208,LOC-454765,0
1615,3,female,35.1,0,0,7.77,C,,LOC-639628,0
1010,2,female,43.3,1,1,40.29,S,F4,LOC-248053,1
1688,2,female,15.2,1,0,33.04,S,,LOC-600535,1
1799,3,male,19.9,0,1,11.01,S,G15,LOC-308683,1
1302,3,male,32.8,1,0,14.54,S,,LOC-436409,0
1340,3,male,34.7,1,1,18.65,C,D14,LOC-759940,0
1063,3,male,33.6,0,0,7.06,S,,LOC-879398,0
1569,1,male,48.5,0,0,122.6,Q,A214,LOC-340186,1
1579,3,female,6.5,2,0,13.96,C,,LOC-842742,1
1159,3,female,55.6,0,0,18.51,S,G38,LOC-176730,1
1509,3,male,22.0,2,0,19.24,C,,LOC-279442,0
1295,3,female,,1,1,12.04,S,,LOC-696521,0
1658,2,male,40.5,0,0,26.74,S,,LOC-991867,1
1827,2,male,,1,0,17.33,S,,LOC-118578,0
1576,3,female,18.2,1,0,9.71,Q,,LOC-502899,1
1490,3,female,15.8,1,0,16.29,S,,LOC-881915,0
1168,1,female,46.7,0,0,112.11,Q,B49,LOC-105308,1
1518,2,male,24.4,0,0,26.81,S,E162,LOC-760364,0
1057,2,female,,0,0,15.2,C,D151,LOC-777101,1
1096,3,male,33.9,3,0,9.07,S,,LOC-293347,0
1165,3,male,42.5,0,1,10.89,C,,LOC-287281,0
1546,2,male,2.8,0,2,23.42,S,G175,LOC-617025,0
1250,1,male,39.7,1,0,145.83,S,,LOC-127226,1
1174,3,female,30.7,1,1,16.59,S,F182,LOC-722235,0
1110,2,female,4.8,0,1,45.67,S,,LOC-286505,0
1451,2,female,34.5,0,0,17.65,C,,LOC-269299,1
1291,3,female,24.9,1,0,8.78,S,F121,LOC-708310,0
1298,3,female,16.9,1,0,9.61,S,F182,LOC-882262,1
1070,2,female,5.9,1,0,56.09,S,,LOC-327517,0
1257,3,female,31.0,0,0,17.13,S,,LOC-205441,1
1606,3,female,7.4,0,1,8.52,S,,LOC-920729,1
1534,3,female,30.2,0,0,9.96,S,,LOC-844809,1
1078,3,male,43.4,1,0,14.39,C,,LOC-835341,0
1350,3,male,0.5,3,0,13.2,S,,LOC-623633,1
1806,3,female,25.0,1,1,12.45,S,G159,LOC-353651,0
1280,2,male,31.5,0,1,42.96,S,,LOC-578065,1
1683,3,male,26.4,0,0,5.45,S,E34,LOC-913370,0
1127,3,male,,0,1,16.92,S,,LOC-899979,0
1366,3,female,59.6,0,1,11.76,Q,F160,LOC-879190,0
1630,1,female,40.3,0,0,99.18,C,,LOC-986285,1
1404,2,female,24.1,1,0,47.2,C,G27,LOC-144129,1
1526,3,male,20.5,0,0,8.01,C,G32,LOC-650330,0
1727,1,male,12.6,0,0,62.93,S,D213,LOC-850761,1
1887,3,female,36.5,1,0,9.16,C,,LOC-586904,0
1849,3,female,16.5,1,2,13.62,S,,LOC-857670,0
1476,2,female,44.0,2,0,27.82,S,D125,LOC-123748,0
1023,3,male,,1,1,15.61,S,,LOC-943204,0
1664,1,male,32.1,0,0,68.42,S,A210,LOC-304791,1
1420,2,male,26.5,0,0,38.8,S,E130,LOC-429821,0
1387,3,female,28.8,0,1,10.4,S,,LOC-394457,1
1333,1,female,41.6,0,2,115.15,S,D201,LOC-372627,1
1410,3,female,30.2,1,0,10.42,S,,LOC-543844,0
1357,3,male,,0,0,12.87,Q,G69,LOC-282777,1
1408,3,female,17.3,1,0,20.17,C,,LOC-556510,1
1882,3,male,4.9,0,2,8.63,S,B204,LOC-193276,1
1198,1,male,40.9,1,0,98.09,Q,A97,LOC-639283,1
1232,2,female,20.9,0,1,29.92,Q,E148,LOC-333064,0
1108,1,male,6.5,0,1,123.98,S,,LOC-414144,1
1855,2,male,27.1,0,0,40.29,C,,LOC-821206,1
1819,1,male,36.0,0,1,136.76,S,C121,LOC-471740,1
1095,3,male,38.6,1,0,16.91,S,F147,LOC-593303,0
1429,2,male,26.9,1,0,35.78,S,,LOC-147096,0
1768,2,female,22.8,0,0,22.92,S,E202,LOC-110208,1
1401,2,male,30.2,1,1,25.44,S,,LOC-729427,0
1699,1,female,42.6,0,0,72.56,C,,LOC-290081,0
1144,3,male,28.1,2,0,30.8,S,,LOC-168540,0
1785,3,male,,1,2,22.76,C,,LOC-182900,1
1017,2,female,31.3,0,0,22.13,S,,LOC-531541,1
1832,3,male,24.4,3,0,11.57,S,,LOC-753457,0
1468,3,male,51.0,0,0,10.64,C,F39,LOC-364389,0
1287,3,male,,0,0,13.15,S,,LOC-721399,0
1660,3,male,17.2,2,0,15.66,S,,LOC-843971,0
1539,2,male,37.4,0,0,38.42,S,,LOC-722485,0
1529,1,male,45.2,0,0,68.61,S,,LOC-140571,0
1128,3,female,11.7,2,0,24.37,Q,,LOC-874386,1
1212,2,male,38.2,1,1,33.4,S,,LOC-764267,1
1352,2,male,31.3,0,2,19.57,S,,LOC-518464,0
1335,1,male,8.8,0,1,153.11,S,,LOC-459716,1
1011,3,male,28.1,2,0,12.18,S,D158,LOC-739623,0
1880,3,female,12.2,3,0,15.31,S,G144,LOC-757005,0
1738,2,female,45.2,0,0,50.03,Q,F163,LOC-824874,0
1802,3,male,29.0,2,0,10.96,S,,LOC-781156,0
1532,3,male,41.4,0,1,14.65,S,,LOC-712465,0
1668,2,male,46.4,2,0,32.07,S,,LOC-446688,0
1669,3,male,16.4,1,1,8.1,C,,LOC-348073,0
1612,2,male,17.5,1,0,39.03,S,,LOC-581438,0
1321,1,male,47.1,0,1,99.93,Q,,LOC-132631,1
1830,3,male,15.4,1,0,16.75,Q,,LOC-492970,0
1513,2,male,44.3,1,0,27.01,S,,LOC-156105,1
1542,2,male,8.5,0,0,26.35,S,,LOC-925703,1
1416,3,female,8.9,4,1,13.98,S,,LOC-625951,1
1192,3,male,19.9,1,1,14.38,Q,F194,LOC-823516,0
1430,3,female,,0,0,10.88,S,,LOC-297720,0
1073,2,male,46.7,2,0,25.79,S,,LOC-684106,0
1682,3,male,34.4,0,2,16.16,S,,LOC-114121,0
1266,1,female,8.5,2,1,93.98,S,,LOC-999929,1
1717,3,male,6.4,0,1,11.54,C,,LOC-976128,0
1535,3,female,31.1,0,0,16.83,S,D186,LOC-942102,1
1386,3,male,13.1,1,0,7.92,S,G158,LOC-834230,0
1874,3,male,52.0,2,0,16.36,S,G190,LOC-971381,0
1105,3,male,23.1,1,0,20.14,S,F69,LOC-911489,1
1290,2,male,10.5,1,0,54.18,C,,LOC-498194,0
1659,3,male,5.5,0,1,16.13,S,G211,LOC-228663,0
1551,2,male,,1,0,29.49,Q,E140,LOC-413651,0
1678,2,male,13.8,0,2,26.91,S,,LOC-101607,0
1173,3,male,7.6,2,2,20.64,S,,LOC-399934,0
1860,3,female,42.9,1,0,9.81,S,C166,LOC-763840,0
1769,1,male,68.4,0,0,107.36,Q,A21,LOC-685741,1
1223,1,female,7.3,1,0,62.96,C,B87,LOC-235054,1
1648,3,female,11.5,0,0,9.69,S,,LOC-407045,0
1741,1,male,26.5,0,0,119.33,,,LOC-257401,0
1224,2,female,34.0,1,0,32.3,Q,,LOC-938612,0
1077,3,male,,0,0,18.41,C,G208,LOC-261087,1
1186,1,male,36.7,1,2,94.23,S,A104,LOC-159154,1
1279,3,male,35.7,2,0,16.88,S,F179,LOC-445196,0
1155,3,female,26.9,1,0,19.71,S,F115,LOC-949631,0
1463,3,female,23.0,1,0,19.24,S,,LOC-984792,1
1126,3,female,17.5,2,0,6.75,S,G69,LOC-214504,1
1639,1,female,48.8,1,0,79.95,Q,C84,LOC-203116,1
1744,3,female,7.2,0,0,7.32,Q,,LOC-359367,1
1064,3,female,42.1,1,0,7.78,S,G55,LOC-341106,1
1344,3,female,46.0,1,0,7.35,S,G51,LOC-721314,1
1871,3,male,26.8,1,0,11.46,C,E81,LOC-377616,0
1355,1,female,25.1,2,1,122.09,C,C108,LOC-414878,1
