PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin,LocationCode
1382,1,male,40.4,0,0,89.82,C,,LOC-106097
1238,3,male,22.9,0,1,15.96,S,,LOC-462229
1696,3,female,9.5,0,0,9.73,S,F171,LOC-893391
1091,3,female,45.9,0,0,7.81,S,,LOC-898875
1055,1,female,42.6,0,0,84.7,S,,LOC-404431
1231,2,female,34.4,0,0,31.25,S,,LOC-239215
1457,1,female,35.7,0,0,112.37,S,A64,LOC-639329
1885,1,female,36.9,0,0,121.07,C,B1,LOC-724442
1578,3,male,14.5,0,4,10.1,S,,LOC-870045
1237,1,female,34.6,0,0,114.42,S,C165,LOC-829238
1104,3,female,16.8,0,0,23.18,Q,D48,LOC-641151
1613,3,male,5.4,1,0,12.95,S,F199,LOC-274995
1666,3,male,17.4,0,0,6.73,S,F121,LOC-243582
1034,2,female,36.3,0,0,40.18,C,E173,LOC-796051
1704,3,male,32.7,1,1,26.88,S,G43,LOC-791291
1853,3,male,42.8,0,0,15.42,S,F188,LOC-332593
1503,3,male,36.9,0,0,14.31,S,,LOC-524633
1583,3,male,22.6,0,0,23.2,S,,LOC-130807
1216,3,male,31.2,2,0,19.04,C,E175,LOC-579811
1264,1,male,20.1,0,0,58.38,S,B96,LOC-131100
1286,2,male,23.9,1,0,25.04,C,,LOC-224906
1208,1,male,,1,0,118.64,S,,LOC-687795
1533,2,male,14.5,1,0,26.92,C,F120,LOC-973922
1292,1,male,29.3,1,0,76.58,S,,LOC-951931
1109,1,male,55.6,1,0,122.14,S,,LOC-775146
1012,3,male,5.7,0,0,15.8,S,F123,LOC-326669
1358,2,male,33.0,0,0,24.44,S,,LOC-168975
1194,3,male,6.6,1,1,11.27,C,,LOC-468947
1100,1,male,12.9,0,1,141.4,S,,LOC-311277
1805,3,male,2.6,1,1,17.1,S,,LOC-182262
1269,1,female,28.9,0,0,87.63,C,,LOC-789573
1143,1,male,56.1,1,0,102.44,S,,LOC-460741
1590,3,male,34.3,0,0,9.2,S,,LOC-952338
1562,1,male,,0,0,106.02,C,,LOC-592443
1600,3,male,15.7,4,0,13.35,S,,LOC-568839
1875,3,female,18.5,1,0,15.81,S,G29,LOC-511995
1240,3,female,19.0,1,0,8.57,S,G171,LOC-989996
1598,2,male,21.6,0,0,40.62,S,D103,LOC-226256
1474,3,female,,0,1,11.92,,F99,LOC-834571
1040,3,male,51.8,1,0,9.19,S,G35,LOC-834379
1024,3,female,28.5,0,0,12.01,S,,LOC-737046
1448,3,male,,1,0,15.85,S,,LOC-555839
1821,2,male,39.6,0,0,38.96,Q,,LOC-296494
1645,3,male,9.5,0,1,18.58,S,G15,LOC-738403
